,family,name,number,id,try1
0,佐藤,蓮,10,482,20
1,伊藤,蒼,7,895,10
2,田中,樹,10,660,23
3,鈴木,紬,4,839,29
4,鈴木,陽菜,6,672,29
5,佐藤,紬,2,16,16
6,伊藤,碧,1,964,29
7,田中,湊,3,654,24
8,鈴木,蓮,8,745,18
9,鈴木,芽依,6,931,19
10,佐藤,蒼,8,790,28
11,伊藤,紬,2,656,19
12,伊藤,陽翔,8,105,18
13,高橋,碧,9,214,17
14,田中,湊,1,325,13
15,田中,朝陽,3,786,12
16,鈴木,樹,0,466,15
17,鈴木,蓮,0,182,28
18,高橋,陽菜,4,732,23
19,高橋,樹,6,849,16
20,鈴木,紬,2,471,29
21,佐藤,陽翔,6,890,14
22,佐藤,朝陽,4,423,28
23,鈴木,芽依,9,488,10
24,伊藤,葵,3,954,17
25,伊藤,陽翔,8,418,20
26,鈴木,陽葵,5,222,25
27,田中,陽翔,1,118,21
28,伊藤,陽葵,0,235,18
29,佐藤,樹,2,738,21
30,伊藤,蓮,6,447,16
31,高橋,陽葵,4,444,26
32,鈴木,陽菜,5,158,27
33,佐藤,葵,1,594,15
34,鈴木,陽葵,5,356,11
35,佐藤,陽菜,3,850,22
36,田中,湊,8,995,10
37,鈴木,凛,7,596,14
38,高橋,碧,9,834,27
39,伊藤,蓮,0,288,19
40,田中,樹,4,120,14
41,田中,碧,3,702,25
42,鈴木,蓮,3,48,30
43,高橋,碧,0,531,24
44,佐藤,陽菜,0,875,20
45,伊藤,朝陽,4,933,23
46,伊藤,蒼,1,741,12
47,佐藤,葵,2,124,22
48,佐藤,芽依,9,343,15
49,田中,樹,8,570,23
50,伊藤,陽翔,5,655,28
51,伊藤,凛,7,574,29
52,鈴木,樹,10,249,19
53,伊藤,碧,7,823,27
54,伊藤,凛,0,701,19
55,佐藤,葵,0,373,25
56,鈴木,芽依,9,329,17
57,伊藤,樹,10,897,15
58,佐藤,凛,3,97,14
59,高橋,碧,5,297,10
60,伊藤,芽依,6,750,25
61,田中,蒼,4,489,21
62,佐藤,葵,3,202,23
63,佐藤,葵,1,446,15
64,田中,蓮,9,144,23
65,伊藤,湊,6,232,27
66,伊藤,蒼,2,979,26
67,田中,朝陽,6,542,22
68,伊藤,蒼,3,963,24
69,伊藤,陽葵,7,783,19
70,鈴木,芽依,9,217,29
71,佐藤,葵,6,370,29
72,佐藤,碧,10,536,13
73,佐藤,碧,1,164,28
74,伊藤,凛,4,540,25
75,佐藤,蒼,10,748,28
76,佐藤,陽菜,8,640,26
77,佐藤,陽菜,7,58,27
78,佐藤,樹,4,70,12
79,鈴木,樹,10,563,21
80,鈴木,陽葵,4,982,29
81,高橋,蓮,10,165,24
82,鈴木,芽依,1,881,30
83,高橋,陽翔,1,664,24
84,伊藤,陽葵,2,211,18
85,高橋,陽翔,4,348,29
86,鈴木,碧,10,957,25
87,伊藤,凛,7,57,24
88,伊藤,凛,7,395,22
89,佐藤,葵,10,617,14
90,高橋,紬,1,345,28
91,田中,葵,10,162,28
92,佐藤,凛,5,811,13
93,高橋,陽菜,9,684,19
94,鈴木,陽菜,10,462,11
95,高橋,凛,4,56,14
96,佐藤,碧,9,652,10
97,田中,朝陽,2,245,25
98,伊藤,蒼,4,480,21
99,佐藤,蒼,2,636,23
100,伊藤,陽翔,6,224,22
101,伊藤,陽翔,7,487,23
102,佐藤,陽菜,6,323,22
103,田中,蒼,6,100,22
104,伊藤,芽依,6,926,22
105,田中,紬,1,83,21
106,佐藤,芽依,1,653,19
107,鈴木,陽葵,1,198,24
108,高橋,陽菜,6,920,21
109,高橋,陽菜,2,879,14
110,佐藤,湊,4,583,19
111,高橋,芽依,7,958,21
112,高橋,湊,4,136,28
113,田中,樹,8,23,17
114,高橋,湊,2,226,30
115,高橋,蒼,9,981,18
116,伊藤,朝陽,8,772,20
117,田中,蒼,8,919,11
118,田中,凛,9,112,15
119,田中,樹,3,274,11
120,伊藤,蒼,0,507,13
121,田中,碧,10,237,18
122,鈴木,紬,1,825,16
123,鈴木,紬,0,615,19
124,田中,蓮,8,138,11
125,高橋,芽依,6,443,17
126,佐藤,葵,0,951,17
127,田中,蓮,3,410,20
128,鈴木,碧,4,390,17
129,鈴木,湊,1,131,20
130,田中,湊,4,698,17
131,鈴木,陽翔,1,186,24
132,高橋,芽依,9,544,22
133,伊藤,碧,3,428,10
134,鈴木,蓮,10,137,30
135,田中,蒼,2,884,30
136,佐藤,朝陽,10,495,23
137,佐藤,碧,4,843,25
138,鈴木,陽菜,8,227,13
139,鈴木,紬,0,450,21
140,高橋,芽依,10,196,20
141,佐藤,湊,0,773,15
142,高橋,碧,0,81,10
143,伊藤,陽菜,1,830,25
144,高橋,陽菜,4,516,23
145,鈴木,樹,6,427,12
146,高橋,葵,5,878,13
147,佐藤,芽依,3,126,17
148,佐藤,凛,1,239,19
149,高橋,陽翔,7,179,13
150,高橋,朝陽,9,392,10
151,佐藤,陽翔,9,978,28
152,佐藤,葵,1,159,10
153,鈴木,凛,1,703,27
154,伊藤,紬,7,104,27
155,伊藤,凛,3,269,28
156,伊藤,葵,2,593,21
157,佐藤,蒼,4,631,14
158,鈴木,陽葵,3,90,16
159,鈴木,蒼,5,947,30
160,田中,蒼,10,718,10
161,田中,紬,5,923,26
162,鈴木,蓮,10,349,15
163,佐藤,蒼,5,939,20
164,佐藤,湊,8,847,28
165,佐藤,碧,10,623,21
166,伊藤,樹,0,803,14
167,高橋,紬,10,752,20
168,伊藤,陽葵,10,475,16
169,鈴木,陽菜,6,639,12
170,鈴木,芽依,6,406,14
171,田中,蓮,6,990,21
172,佐藤,蓮,6,292,30
173,田中,凛,7,316,21
174,田中,葵,0,717,23
175,田中,樹,3,759,21
176,田中,湊,4,785,18
177,田中,陽葵,4,886,13
178,伊藤,蒼,4,637,21
179,田中,凛,8,169,13
180,鈴木,陽翔,9,378,25
181,高橋,蒼,1,220,27
182,鈴木,葵,5,864,20
183,佐藤,陽葵,7,632,25
184,高橋,凛,4,340,27
185,伊藤,蒼,3,870,17
186,高橋,蒼,1,302,10
187,鈴木,朝陽,5,33,13
188,鈴木,陽翔,3,284,23
189,鈴木,陽翔,1,611,28
190,高橋,凛,9,767,21
191,田中,蒼,6,831,15
192,田中,蓮,6,133,19
193,佐藤,朝陽,6,644,15
194,田中,陽菜,5,310,11
195,高橋,陽葵,0,221,15
196,鈴木,紬,9,768,28
197,高橋,凛,10,845,11
198,佐藤,蓮,10,403,22
199,伊藤,湊,2,533,19
200,高橋,葵,4,513,24
201,田中,湊,1,941,19
202,高橋,朝陽,6,181,13
203,鈴木,陽菜,4,66,17
204,高橋,芽依,6,812,19
205,佐藤,陽葵,8,679,15
206,佐藤,碧,10,270,14
207,伊藤,蓮,8,318,18
208,田中,芽依,10,93,14
209,高橋,湊,10,380,28
210,高橋,朝陽,9,64,25
211,伊藤,樹,5,20,29
212,高橋,陽葵,9,868,28
213,高橋,湊,8,858,15
214,鈴木,陽翔,10,824,22
215,伊藤,陽葵,8,436,18
216,鈴木,紬,5,711,15
217,伊藤,陽菜,1,440,11
218,高橋,陽菜,6,327,28
219,佐藤,芽依,9,591,24
220,高橋,凛,5,940,24
221,伊藤,陽菜,1,49,22
222,伊藤,陽菜,1,145,23
223,高橋,蒼,8,988,19
224,佐藤,凛,0,37,26
225,高橋,朝陽,0,139,23
226,田中,陽翔,2,87,20
227,田中,碧,2,441,30
228,伊藤,葵,4,799,28
229,伊藤,湊,0,107,26
230,田中,蓮,4,399,28
231,佐藤,湊,6,769,25
232,鈴木,陽葵,6,285,29
233,伊藤,碧,2,998,26
234,高橋,陽葵,2,612,17
235,高橋,凛,7,828,13
236,鈴木,碧,8,483,17
237,鈴木,陽翔,2,989,29
238,伊藤,樹,9,74,28
